Date,Chain,Postcode,Category,Total Units,Total cost per unit,Prices,,
01/01/2016,Nike,2650,Home,175,2.78,6.35,, 
01/01/2016,Nike,3550,Groceries,908,0.61,0.93,,
01/01/2016,Nike,4053,Home,1,500.00,750.00,,
01/01/2016,Nike,3076,Groceries,714,1.14,1.46,,
01/01/2016,Nike,2031,Groceries,65,0.48,3.90,,
01/01/2016,Nike,3066,Home,87,3.66,6.19,,
01/01/2016,Nike,2067,Home,92,5.21,7.34,,
01/01/2016,Nike,2800,Home,21,4.49,13.55,,
01/01/2016,Nike,2560,Home,127,4.19,5.59,,
01/01/2016,Nike,3076,Home,77,4.73,6.99,,
01/01/2016,Nike,800,Womens,2,10.00,18.53,,
01/01/2016,Nike,2031,Groceries,898,1.20,1.39,,
01/01/2016,Nike,4068,Home,170,4.15,5.13,,
01/01/2016,Nike,800,Womens,50,1.90,1.92,,
01/01/2016,Nike,4068,Womens,166,2.51,3.43,,
01/01/2016,Nike,2350,Home,213,2.37,3.07,,
01/01/2016,Nike,3353,Home,116,4.62,5.80,,
01/01/2016,Nike,3550,Groceries,233,0.94,1.52,,
01/01/2016,Nike,3018,Groceries,283,1.17,1.64,,
01/01/2016,Nike,800,Womens,3,7.00,6.75,,
01/01/2016,Nike,2020,Home,81,6.67,8.17,,
01/01/2016,Nike,800,Womens,2,10.00,7.51,,
01/01/2016,Nike,3550,Kids,65,2.19,3.92,,
01/01/2016,Nike,3066,Home,934,1.87,1.99,,
01/01/2016,Nike,3148,Home,69,2.12,3.67,,
01/01/2016,Nike,3550,Accessories,40,11.32,13.78,,
01/01/2016,Nike,6330,Home,143,4.81,5.45,,
01/01/2016,Nike,2480,Juniors,18,5.56,10.51,,
01/01/2016,Nike,800,Womens,15,3.93,3.43,,
01/01/2016,Nike,3353,Womens,19,8.10,12.63,,
01/01/2016,Nike,3551,Home,83,7.50,8.47,,
01/01/2016,Nike,800,Womens,99,4.36,3.21,,
01/01/2016,Nike,4551,Accessories,57,6.34,7.64,,
01/01/2016,Nike,2830,Home,102,8.64,9.35,,
01/01/2016,Nike,2480,Home,15,9.70,14.53,,
01/01/2016,Nike,800,Womens,133,5.36,3.34,,
01/01/2016,Nike,800,Womens,748,6.97,5.40,,
01/01/2016,Nike,800,Mens,7,1.00,0.35,,
01/01/2016,Adidas,6450,Accessories,88,3.64,4.35,,
01/01/2016,Nike,4119,Hosiery,123,0.50,1.00,,
01/01/2016,Nike,800,Mens,3,14.99,5.00,,
01/01/2016,Nike,800,Mens,93,3.29,2.52,,
01/01/2016,Nike,2031,Home,52,1.31,2.41,,
01/01/2016,Nike,2067,Juniors,19,7.89,10.89,,
01/01/2016,Nike,800,Mens,34,4.64,2.29,,
01/01/2016,Nike,3148,Groceries,204,1.36,1.63,,
01/01/2016,Nike,2795,Juniors,16,6.06,9.49,,
01/01/2016,Nike,3018,Kids,68,1.95,2.75,,
01/01/2016,Nike,800,Mens,33,7.17,2.82,,
01/01/2016,Nike,6330,Hosiery,103,0.50,1.00,,
01/01/2016,Nike,2015,Home,42,7.72,8.94,,
01/01/2016,Nike,2015,Juniors,43,1.67,2.86,,
01/01/2016,Adidas,4305,Juniors,28,4.83,6.64,,
01/01/2016,Nike,3148,Mens,35,7.26,8.66,,
01/01/2016,Nike,2795,Womens,55,2.64,3.52,,
01/01/2016,Nike,2830,Juniors,22,8.33,10.51,,
01/01/2016,Nike,2830,Womens,3,-6.66,8.83,,
01/01/2016,Adidas,2539,Womens,55,1.73,2.57,,
01/01/2016,Nike,2031,Womens,9,9.44,14.50,,
01/01/2016,Nike,2015,Juniors,31,8.84,10.30,,
01/01/2016,Nike,800,Mens,196,8.73,3.79,,
01/01/2016,Nike,2795,Juniors,23,7.94,9.87,,
01/01/2016,Nike,4509,Womens,18,9.22,11.64,,
01/01/2016,Nike,4068,Womens,34,13.91,15.19,,
01/01/2016,Nike,800,Mens,545,7.55,4.30,,
01/01/2016,Adidas,3136,Shoes,10,9.00,13.16,,
01/01/2016,Adidas,3136,Accessories,40,4.32,5.36,,
01/01/2016,Nike,800,Kids,1,4.00,4.50,,
01/01/2016,Adidas,4700,Juniors,9,9.11,13.67,,
01/01/2016,Nike,6280,Juniors,11,6.03,9.68,,
01/01/2016,Nike,4068,Juniors,15,7.93,10.57,,
01/01/2016,Nike,3353,Womens,21,8.38,10.25,,
01/01/2016,Nike,4509,Juniors,44,5.07,5.95,,
01/01/2016,Nike,2350,Womens,98,1.85,2.24,,
01/01/2016,Adidas,5082,Womens,48,2.42,3.20,,
01/01/2016,Nike,2116,Womens,16,5.33,7.64,,
01/01/2016,Nike,2560,Mens,18,2.00,4.00,,
01/01/2016,Nike,4551,Womens,20,3.65,5.43,,
01/01/2016,Nike,2020,Womens,60,1.30,1.89,,
01/01/2016,Nike,2350,Juniors,32,9.31,10.41,,
01/01/2016,Nike,800,Kids,1,2.00,1.25,,
01/01/2016,Nike,4068,Hosiery,70,0.50,1.00,,
01/01/2016,Adidas,5168,Juniors,45,5.58,6.35,,
01/01/2016,Adidas,6010,Mens,1,-19.98,14.00,,
01/01/2016,Nike,3076,Womens,54,1.22,1.85,,
01/01/2016,Nike,4558,Kids,103,2.51,2.84,,
01/01/2016,Nike,2020,Juniors,24,8.91,10.30,,
01/01/2016,Nike,2031,Juniors,19,8.73,10.47,,
01/01/2016,Nike,2560,Womens,23,5.22,6.66,,
